Başlık,Konum,Oda Sayısı,Metrekare,Kat,Fiyat,Yapı Yaşı,Eşya,Isıtma,URL
Tiamo'dan 1+1 50m Yeni Binada Kombili Asansörlü Otoparklı Kot1,İstanbul / Beşiktaş / Dikilitaş Mah.,1+1,58,11,28500,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/80027-1463
"Fidan'dan Mehmet Akif Mahallesi, Genç Binada, 3+1 Kiralık Daire",İstanbul / Ümraniye / Mehmet Akif Mah.,3+1,129,2,62500,21,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-umraniye-mehmet-akif-kiralik/daire/23474-34406
Altın Emlak'tan K.M.Paşa'da Klimalı Kiralık Eşyalı 1+1 Daire,İstanbul / Fatih / Koca Mustafapaşa Mah.,1+1,56,5,28000,10,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-fatih-koca-mustafapasa-kiralik/daire/125627-517
Şile Yolu Üzernde Ormanköy Çınarköy'e Komşu 1+1 Eşyalı Kiralık,İstanbul / Çekmeköy / Güngören Mah.,1+1,56,6,30500,10,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-cekmekoy-gungoren-kiralik/daire/37996-5964
Toprak İnşaat&emlak'tan Tercüman Sitesin De Full Eşyalı 105m2 2+1 Kiralık Daire...,İstanbul / Zeytinburnu / Merkezefendi Mah.,2+1,105,12,45000,22,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-zeytinburnu-merkezefendi-kiralik/daire/109079-1129
Samsun Emlak Üsküdar Ümraniye Huzur Mh.1 Kat 150 M2 Eşyalı 3 Oda 1 Salon Çift Balkonlu Kombili,İstanbul / Ümraniye / Huzur Mah.,2+1,150,9,39500,8,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-umraniye-huzur-kiralik/daire/38854-1055
Çapa Şehremini Mah. 1+1 Yüksek Bodrum Badanası Yapıldı Kuğu Emlaktan Kiralık Daire,İstanbul / Fatih / Şehremini Mah.,1+1,50,9,29000,7,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-fatih-sehremini-kiralik/daire/77099-6657
Arya'dan Zeynepkamil De 2+1 Masrafsız Kombili Tüm Odalar Güneş Alır '' Videolu '' Geniş Teraslı,İstanbul / Üsküdar / Valide-i Atik Mah.,2+1,91,12,45000,8,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-valide-i-atik-kiralik/daire/29820-2183
Kocamustafapaşada Kiralık 2+1 Full Yapılı Kombili Daire,İstanbul / Fatih / Silivrikapı Mah.,2+1,80,2,32500,18,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-fatih-silivrikapi-kiralik/daire/64491-411
2978 Rengarenkten Kadımehmette Kiralık 2+1 Daire,İstanbul / Beyoğlu / Kadımehmet Efendi Mah.,2+1,95,11,65000,4,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-beyoglu-kadimehmet-efendi-kiralik/daire/91167-1506
'fragman Gayrimenkul Metrobüse Yakın 1+1 Çatı Katı Kiralık Daire,İstanbul / Avcılar / Mustafa Kemal Paşa Mah.,1+1,59,11,27000,17,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-avcilar-mustafa-kemal-pasa-kiralik/daire/167874-26
Evronozzade Sok.1.Kat 2+1 60m2,İstanbul / Şişli / Feriköy Mah.,2+1,60,5,91500,12,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-ferikoy-kiralik/daire/151104-76
Tarabya Merkez Sahil Çok Yakın Yeni Eşyalı 2+1 Kiralık Daire,İstanbul / Sarıyer / Tarabya Mah.,2+1,83,9,49000,24,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/1994-3398
Muhteşem Konumda 1+1 40m2 Balkonlu (eşyasız) Kiralık Daire,İstanbul / Beyoğlu / Kılıçali Paşa Mah.,1+1,56,11,63000,22,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-kilicali-pasa-kiralik/daire/13831-1726
Pendik Köşklerinde Kiralık 3+1 Daire,İstanbul / Pendik / Doğu Mah.,3+1,123,11,67000,5,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-pendik-dogu-kiralik/daire/3611-5639
Savaş Sokak 2. Adada Metroya Yakın Masrafsız 2+1 Y.Giriş Daire,İstanbul / Şişli / Feriköy Mah.,2+1,87,0,92000,21,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-ferikoy-kiralik/daire/70897-3551
Merkezi Konumda 2+1 100 M2 Sıfır Tadilatlı Öğrenciye Bekara Uygun Açık Otoparklı,İstanbul / Şişli / Mecidiyeköy Mah.,2+1,100,1,89500,1,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/42771-6466
Teşvikiye'nin Elit Konumunda Geniş 2+1 Temiz Kiralık Daire,İstanbul / Şişli / Teşvikiye Mah.,2+1,86,10,73000,24,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/daire/5924-2303
Esenkent Orkide Okyanus Koleji Yanı 108m 3+1 Boyalı Daire,İstanbul / Esenyurt / Aşık Veysel Mah.,3+1,119,1,59500,23,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-asik-veysel-kiralik/daire/18249-1536
Ella'dan Tuzla Aydıntepe Mahallesinde 2+1 Arakat Kiralık Daire,İstanbul / Tuzla / Aydıntepe Mah.,2+1,97,4,57000,8,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-tuzla-aydintepe-kiralik/daire/138800-445
Es Gayrimenkul Cerrahpaşada Eşyalı Kiralık,İstanbul / Fatih / Haseki Sultan Mah.,2+1,86,6,56000,2,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-fatih-haseki-sultan-kiralik/daire/69050-2809
Kadıköy Yeldeğirmeninde 1+1 Kombili Bahçe Katı Daire,İstanbul / Kadıköy / Rasimpaşa Mah.,1+1,56,1,72500,4,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-rasimpasa-kiralik/daire/57525-702
E5e Metroya 18dakika Yürüme Kombili Balkonlu Ferah Çatıkatı,İstanbul / Kartal / Hürriyet Mah.,2+1,79,11,61500,7,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kartal-hurriyet-kiralik/daire/23950-572
"Osmanbey Metro Yanı, Full Eşyalı, Balkonlu, Geniş Stüdyo Daire",İstanbul / Şişli / Cumhuriyet Mah.,2+1,89,3,83500,21,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/daire/17993-44846
"Ataşehir Kent Plus'ta B Tipi,Geniş 3+1,Lüx Eşyalı Kiralık....",İstanbul / Ataşehir / Barbaros Mah.,3+1,111,5,76500,13,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-atasehir-barbaros-kiralik/daire/23826-4759
İstanbul Küçükçekmece Yeşilova'da Metrobüse Çok Yakın Kiralık 150.M2.Daire 2+2-40.000.Tl,İstanbul / Küçükçekmece / Yeşilova Mah.,2+2,193,12,138500,10,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-kucukcekmece-yesilova-kiralik/daire/61811-2216
Firüzağa Kadirilerde Ayasofya Manzaralı Kiralık Daire,İstanbul / Beyoğlu / Firuzağa Mah.,2+1,88,5,88500,14,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-kiralik/daire/21925-1653
Erenköy Marmaray Yakını 3+1 Ön Cephe Balkonlu,İstanbul / Kadıköy / Erenköy Mah.,3+1,118,7,123500,4,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-kiralik/daire/2073-1826
Ulus Adnan Saygun Caddesi Üzerinde Yüksek Giriş Kiralık Daire,İstanbul / Beşiktaş / Ulus Mah.,2+1,87,1,77000,1,Eşyalı,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-besiktas-ulus-kiralik/daire/8525-57246
Kağıthane Harmantepe Mahallesinde 2+1 90 M2 Kiralık Daire,İstanbul / Kağıthane / Yahya Kemal Mah.,2+1,90,10,49000,17,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-kagithane-yahya-kemal-kiralik/daire/98530-342
Celaliye De Full Deniz Manzaralı Denize Sıfır 2+1 Yalı Dairesi !!!,İstanbul / Büyükçekmece / Celaliye Mah.,2+1,391,10,138500,0,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-buyukcekmece-celaliye-kiralik/daire/90378-209
Ekinoba Emlak Konut Eşyalı Kiralık 1+1,İstanbul / Büyükçekmece / Ekinoba Mah.,1+1,57,7,25500,21,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-buyukcekmece-ekinoba-kiralik/daire/691662-179
Mecidiyeköy Merkezde 2+1 Ara Kat Daire,İstanbul / Şişli / Mecidiyeköy Mah.,2+1,90,6,65500,14,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/90941-684
Paşamdan Fatih Seyitömerde Kiralık Yeni Daire,İstanbul / Fatih / Seyyid Ömer Mah.,2+1,91,9,48000,6,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-kiralik/daire/80557-1216
Sarı Emlak Tan Gazi Mahallesin De Kiralık 1+1 Çatı Katı Daire,İstanbul / Sultangazi / Gazi Mah.,1+1,56,10,21000,24,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sultangazi-gazi-kiralik/daire/122228-562
Deva'dan İskeleye Marmaraya Yakın Balkonlu 2+1 Kombili,İstanbul / Üsküdar / Sultantepe Mah.,2+1,95,10,55500,2,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-sultantepe-kiralik/daire/31234-79802
Altıntepe Merkezde 4+2 Manrazalı Dubleks,İstanbul / Maltepe / Altıntepe Mah.,4+2,230,6,152500,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-kiralik/daire/2815-8326
Bomonti Life Residence'da Güvenlikli-Otoparklı Kiralık 1+1 Daire,İstanbul / Şişli / Cumhuriyet Mah.,1+1,56,1,46500,17,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/residence/25165-5978
İstinye 'de İstinye Parka Yakın Ulaşımı Kolay Mahallede 2+1 Kombili Daire,İstanbul / Sarıyer / İstinye Mah.,2+1,78,2,97000,13,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sariyer-istinye-kiralik/daire/4503-1958
Bahçeşehir Şelale Düden Bloklarında 1+1 Kiralık Daire,İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.,1+1,59,4,28000,25,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/32345-11388
Reverans Rezidans'da Ultra Lüx 5+2 Dublex,İstanbul / Çekmeköy / Sultançiftliği Mah.,5+2,202,5,159500,0,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-cekmekoy-sultanciftligi-kiralik/daire/6181-23984
Tual Comfort Projesi 10.Kat Açık Mutfak 105m2 Kiralık 2+1 Daire,İstanbul / Avcılar / Tahtakale Mah.,2+1,105,8,44000,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-avcilar-tahtakale-kiralik/daire/167213-49
Referans Loca Kartal'da 'ankastreli 21.Kat 100m2 Kiralık 2+1,İstanbul / Kartal / Atalar Mah.,2+1,100,7,51500,4,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kartal-atalar-kiralik/residence/4355-136619
Full Eşyalı - Site İçi - Güvenlikli - Arakat - Kullanışlı - Komple Güneş Alır,İstanbul / Kağıthane / Hamidiye Mah.,2+1,75,12,48000,6,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-kiralik/daire/43996-28590
Sinpaş Koru Aura'da 2+1 Kapalı Mutfak Ferah Teraslı Lüks Daire,İstanbul / Ümraniye / Finanskent Mah.,2+1,83,10,49000,24,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-umraniye-finanskent-kiralik/daire/167860-89
Nef 36 Basınekspres Yüksek Kat Boş 1+1 Kiralık Daire,İstanbul / Bağcılar / Mahmutbey Mah.,1+1,57,1,20500,15,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-bagcilar-mahmutbey-kiralik/residence/144780-139
Öziş Sitesinde Asansörlü Balkonlu Kombili 3+1,İstanbul / Maltepe / Zümrütevler Mah.,3+1,111,1,78500,25,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-maltepe-zumrutevler-kiralik/daire/5630-6564
Büyüksaray Emlaktan Sofularda 3.Ara Kat 2+1 Kiralık Daire,İstanbul / Fatih / İskenderpaşa Mah.,2+1,89,1,53500,19,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-fatih-iskenderpasa-kiralik/daire/60885-615
Novam'da Kahvaltıcılar Sokağında 2+1 Eşyalı Kiralık Daire,İstanbul / Beşiktaş / Sinanpaşa Mah.,2+1,85,11,57000,9,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-sinanpasa-kiralik/daire/93041-895
5+1+hol (eşyalı) Daire Aksaray Merkezde,İstanbul / Fatih / Aksaray Mah.,5+1,241,1,119000,18,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-fatih-aksaray-kiralik/daire/692418-787
Neşe Emlak''tan..Üsküdar Merkeze 5 Dakika Yürüme Mesafesinde,İstanbul / Üsküdar / Sultantepe Mah.,2+1,101,10,48500,1,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-uskudar-sultantepe-kiralik/daire/3041-1915
Antik Emlak'tan  ****abbasağa Parkına B.Bulvarına Yakın Deniz Gören Kombili Daire****,İstanbul / Beşiktaş / Cihannüma Mah.,2+1,88,2,44000,7,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-cihannuma-kiralik/daire/8798-2689
"Piyalepasa Polat Kısmi Eşyalı 1+1,Balkonlu Daire-Bomonti 5 Dk",İstanbul / Beyoğlu / İstiklal Mah.,1+1,57,3,44500,16,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-istiklal-kiralik/residence/67376-2264
"Esenyurt Haramidere Ramada Rezidans Ta 3+1, Sıfır, Kiralık Daire",İstanbul / Esenyurt / Güzelyurt Mah.,3+1,118,4,46500,0,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-kiralik/residence/23180-5984
"Beykoz Kavacık’ta Teraslı, Masrafsız Müstakil Tadında 1+1 Daire!..",İstanbul / Beykoz / Kavacık Mah.,1+1,412,12,150000,8,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-beykoz-kavacik-kiralik/daire/28284-3886
Şişli Mecidiyeköy Avrupa Konutları Arkası 3+1 130 M2 Daire-Ofis,İstanbul / Şişli / Gülbahar Mah.,3+1,130,9,141500,19,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/33046-3766
Dmrc'den Cevahir Avm Yürüme Mesafesinde Asansörlü 2+1,İstanbul / Şişli / Fulya Mah.,2+1,91,8,85500,12,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-fulya-kiralik/daire/120873-531
Silivri Eski Çantada Kiralık Hobi Bahçesi,İstanbul / Silivri / Çanta Balaban Mah.,2+1,88,4,32000,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-silivri-canta-balaban-kiralik/ciftlik-evi/107275-749
Suadiye Sahil Kiralık 3 Oda 1 Salon 140 M2 Balkonlu Boş Daire !,İstanbul / Kadıköy / Suadiye Mah.,2+1,80,2,94500,20,Eşyasız,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-kiralik/daire/122463-2361
Söğüt Emlak - Ünalan Metro-Metrobüse 2-3 Dk Mesafede 2+1 Kiralık Daire,İstanbul / Üsküdar / Ünalan Mah.,2+1,75,9,49500,11,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-uskudar-unalan-kiralik/daire/16521-1917
Fatih Mahallesi Kiralık 1+1 Daire,İstanbul / Beykoz / Fatih Mah.,1+1,55,10,38500,10,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-beykoz-fatih-kiralik/daire/18408-603
Ispartakule Stüdyo 24 Sitesi 1+0 Kiralık Manzaralı Daire,İstanbul / Avcılar / Tahtakale Mah.,1+0,36,11,17500,21,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-avcilar-tahtakale-kiralik/daire/167653-23
Ortaköy ‘de Sahile  Yakın Daire,İstanbul / Beşiktaş / Mecidiye Mah.,2+1,92,5,44500,9,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-mecidiye-kiralik/daire/3591-1179
Odak'tan Moda Burnu'nda Tamamen Yenilenmiş Mobilyalı 3+1,İstanbul / Kadıköy / Caferağa Mah.,3+1,119,2,143000,11,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-caferaga-kiralik/daire/2907-2551
Nazar Emlak Tan 3+1 Arakat Full Eşyalı Daire Merkezi Kınumda,İstanbul / Şişli / Duatepe Mah.,3+1,127,1,142000,18,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-duatepe-kiralik/daire/42292-1910
Yüksel Önder | Şişli'de Geniş Ferah 3+1 Kiralık Boş Daire,İstanbul / Şişli / 19 Mayıs Mah.,3+1,119,1,138500,22,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-19-mayis-kiralik/daire/1217-6447
Kiralık Esentepede Yeni Binada Eşyalı 1+1 Daire,İstanbul / Şişli / Esentepe Mah.,1+1,60,5,63000,1,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/daire/33600-50136
İskenderpaşa Horhorda Kiralık 1+1 Daire,İstanbul / Fatih / Molla Hüsrev Mah.,1+1,54,3,25000,20,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-fatih-molla-husrev-kiralik/daire/108051-2698
Şişli Eskişehir Mahallesinde Genç Binada  Yüksek Giriş 2+1 Daire,İstanbul / Şişli / Eskişehir Mah.,2+1,82,1,96000,23,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-eskisehir-kiralik/daire/30486-1866
Bomonti Divan Residence 1+1 Eşyalı Kiralık Daire,İstanbul / Şişli / Cumhuriyet Mah.,1+1,68,7,54500,16,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/residence/98015-2353
"Emin'den,Kadıköy Çarşı,3+1,Merkezi Sistem Doğalgaz,Çift Cephe",İstanbul / Kadıköy / Caferağa Mah.,3+1,122,9,145500,25,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-kadikoy-caferaga-kiralik/daire/5956-6635
Mecidiyeköy Gülbahar Mahallesinde Ara Kat1+1 Boş Daire Kiralık,İstanbul / Şişli / Gülbahar Mah.,1+1,55,1,55500,23,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/65982-2234
Üsküdar Boyaci Emlaktan Validei Atık Mah 1kat 2+1-85 M2 Kombili Temiz Önunu Açik Ülasıma Yakın,İstanbul / Üsküdar / Valide-i Atik Mah.,2+1,85,4,54500,25,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-valide-i-atik-kiralik/daire/110203-1007
Küçükçekmece Fatih Mahallesi Kiralık Daire E5 Yanyol Metrobüs Marmaray Yakını,İstanbul / Küçükçekmece / Fatih Mah.,2+1,93,1,56500,1,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kucukcekmece-fatih-kiralik/daire/103214-943
Ceylan'dan Gümüşsuyu'nda Merkezi Konumda Nezih Binada 2+1 Daire,İstanbul / Beyoğlu / Ömer Avni Mah.,2+1,92,7,93500,9,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-omer-avni-kiralik/daire/18707-16891
Ataşehir Sedef Sitesi Eşyalı Mobilyalı Möbleli 2+1 Daire,İstanbul / Ataşehir / Atatürk Mah.,2+1,93,7,41000,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-atasehir-ataturk-kiralik/daire/66063-1529
Yeni Binada Ayrı Girişli Full Eşyalı Daire,İstanbul / Fatih / Silivrikapı Mah.,2+1,103,1,36000,0,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-fatih-silivrikapi-kiralik/daire/0-46366710
Esenyurt Koza'da Maximoon 2+1 Eşyalı Kiralık Daire,İstanbul / Esenyurt / Koza Mah.,2+1,93,2,40500,13,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-koza-kiralik/daire/124862-1631
Galatasaray Lisesine Çok Yakın 1+1 Eşyalı Daire,İstanbul / Beyoğlu / Tomtom Mah.,1+1,52,4,54000,17,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-tomtom-kiralik/daire/73025-6061
Kirazlıdere Mah.Cadde Üzeri Final Okul Yanı 4+2 Üst Dublex,İstanbul / Çekmeköy / Kirazlıdere Mah.,4+2,221,5,172000,25,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-kirazlidere-kiralik/daire/106483-185
Merkezi Lokasyonda Caddeye Yakın 2+1 Arakat Kiralık Daire,İstanbul / Esenyurt / Mehterçeşme Mah.,2+1,86,12,29000,5,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-esenyurt-mehtercesme-kiralik/daire/113569-12931
Firuzağa'da  Şehir Manzaralı Eşyalı Çok Ferah Kiralık Daire,İstanbul / Beyoğlu / Firuzağa Mah.,2+1,86,10,76000,23,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-kiralik/daire/23301-1051
Lotus Bağ Sitesi'nde 4+1 Kiralık Villa,İstanbul / Sarıyer / Zekeriyaköy Mah.,4+1,428,5,215000,11,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/villa/31514-4978
Akatlar'da Bahçeli Mobilyalı 1+1 Kiralık Daire,İstanbul / Beşiktaş / Akat Mah.,1+1,56,2,50500,2,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-besiktas-akat-kiralik/daire/74556-3729
İstanbul House'dan Yeşilköy Merkez'de 47m2 Eşyalı 1+0 Kiralık,İstanbul / Bakırköy / Yeşilköy Mah.,1+0,47,5,31500,6,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-bakirkoy-yesilkoy-kiralik/daire/114218-2693
Mecidiyeköy De Kiralık Eşyalı Daire Metro Ve Metrobüse 4.Dk Mesafede Eşyalar Yeni Alınacaktır.,İstanbul / Şişli / Mecidiyeköy Mah.,2+1,94,5,84000,7,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/6019-2600
Yıldız Emlak‘tan Kıralık 2 + 1 Daıre,İstanbul / Beyoğlu / Cihangir Mah.,2+1,88,4,99000,12,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/41169-989
"Arnavutköy Sahile Yakın Mimari Tasarımlı Şık,Eşyalı 1+1 Daire",İstanbul / Beşiktaş / Arnavutköy Mah.,1+1,52,6,57500,23,Eşyalı,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-besiktas-arnavutkoy-kiralik/daire/63901-2371
Ümraniye Hekimbaşı Mahallesinde Kiralık Daire,İstanbul / Ümraniye / Hekimbaşı Mah.,2+1,100,8,46000,24,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-umraniye-hekimbasi-kiralik/daire/99388-289
Emlak Konutta 2+1 Yerden Isıtmalı 1. Kat,İstanbul / Üsküdar / Mehmet Akif Ersoy Mah.,2+1,88,9,45000,13,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-mehmet-akif-ersoy-kiralik/daire/168038-54
4.Levent'te Metroya Yakın Lüks Eşyalı 1+1 Kiralık Daire,İstanbul / Kağıthane / Çeliktepe Mah.,1+1,57,9,33000,6,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-kiralik/daire/131783-342
Meclis Mahallesi'nde Site İçi Metroya Yakın Kiralık 2+1 Daire,İstanbul / Sancaktepe / Meclis Mah.,2+1,94,4,50500,4,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sancaktepe-meclis-kiralik/daire/166275-50
Sultan Sönmez'den Hasköy'de Kiralık 1.Katta 3+1 Daire,İstanbul / Beyoğlu / Piri Paşa Mah.,3+1,124,2,180500,8,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-piri-pasa-kiralik/mustakil-ev/133775-228
Kayışdağı 7tepe Üni. Sıfır Konum'da 2+1 Kiralık Daire,İstanbul / Ataşehir / İnönü Mah.,2+1,95,8,47500,1,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/134221-65
Helenium Wings Sitesinde Kiralık 2+1 Bahçe Katı,İstanbul / Pendik / Yenişehir Mah.,2+1,89,8,54000,15,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/166013-15
Bulgurda Paylaşımlı Kiralık Daire,İstanbul / Üsküdar / Bulgurlu Mah.,2+1,88,8,33000,2,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-bulgurlu-kiralik/daire/3351-2126
Taksim İnönü Caddesine (500)m Mesafede Merkezde Düz Giriş Yenilenmiş Mesken & Ofis (1+1)(65)m2 Daire,İstanbul / Beyoğlu / Gümüşsuyu Mah.,1+1,58,1,38000,12,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-gumussuyu-kiralik/daire/45647-1941
Kağıthane Yeşilce Mah. 1+1 Büyükdere Cad. 7/8 Dk Net 65m2,İstanbul / Kağıthane / Yeşilce Mah.,1+1,65,11,35500,12,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-yesilce-kiralik/daire/150747-484
Mengükan'dan Çekmeköy Hamidiye Mah. Kiralık 2+1 3.Kat !!!,İstanbul / Çekmeköy / Hamidiye Mah.,2+1,96,7,61500,17,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-cekmekoy-hamidiye-kiralik/daire/155700-980
Tarabya Cadde Alışveriş Metro Ulaşıma 5 Dk Mesafede Çok Temiz 3+1 Ara Kat Daire,İstanbul / Sarıyer / Tarabya Mah.,3+1,120,12,69000,19,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/78519-8882
Erenköy Apple In Karşı Sokağında Sıfır Binada Fırsat Balkonlu 3+1 Kiralık,İstanbul / Kadıköy / Erenköy Mah.,3+1,110,3,129000,0,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-kiralik/daire/27431-11633
Silivri Alibey Mah'de İyi Konumda Kiralık 2+1 Ferah Daire,İstanbul / Silivri / Alibey Mah.,2+1,93,12,37500,11,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-silivri-alibey-kiralik/daire/139888-271
